Id,y
50100,1.6896234
50101,1.9522194
50102,1.5550859
50103,1.9426961
50104,1.9788435
50105,1.7785232
50106,2.1973515
50107,2.043479
50108,1.7998565
50109,1.7006063
50110,1.8294356
50111,2.0668628
50112,1.708301
50113,1.6730981
50114,2.0242703
50115,1.9997007
50116,1.6807513
50117,1.8555335
50118,2.0035934
50119,1.9266942
50120,1.8760241
50121,1.8834021
50122,1.6720182
50123,1.6530166
50124,1.7440712
50125,1.8993428
50126,1.5669132
50127,1.9880174
50128,1.8269097
50129,1.8374112
50130,1.7739723
50131,1.9269927
50132,1.7371247
50133,1.4488877
50134,1.7218304
50135,1.7388284
50136,1.8995188
50137,1.7878013
50138,2.1894932
50139,1.8578143
50140,2.0846992
50141,2.0494242
50142,1.7603967
50143,1.8831745
50144,1.9614716
50145,1.887702
50146,1.9468119
50147,1.90876
50148,2.08219
50149,1.6747546
50150,1.5659401
50151,1.7697153
50152,1.7661214
50153,2.009774
50154,1.757393
50155,2.1186187
50156,2.1396246
50157,1.6988391
50158,2.1059713
50159,1.5372236
50160,1.5385128
50161,1.8942726
50162,2.1288683
50163,1.9826748
50164,1.991657
50165,2.2246633
50166,1.4792352
50167,2.0062234
50168,1.8887182
50169,1.2269435
50170,1.8789791
50171,1.9237933
50172,2.0524406
50173,1.6826761
50174,1.6934419
50175,1.5495498
50176,1.8087432
50177,1.9012806
50178,1.8750888
50179,1.7987441
50180,2.1391807
50181,1.7183326
50182,1.6486541
50183,1.6459223
50184,1.9428196
50185,1.3826525
50186,1.8579392
50187,2.1431496
50188,2.08081
50189,2.0312357
50190,2.1844966
50191,2.1170573
50192,1.7185676
50193,2.1289546
50194,1.6915228
50195,1.9252548
50196,1.9407414
50197,1.9046934
50198,1.8165976
50199,1.7374538
50200,1.9934711
50201,2.0423918
50202,1.9556506
50203,2.0479643
50204,2.0157616
50205,1.395436
50206,1.9393728
50207,1.6968784
50208,1.9016181
50209,1.2518296
50210,1.9973598
