Id,y
50100,1.3308008
50101,1.8708705
50102,1.5578895
50103,2.0856638
50104,1.7246581
50105,1.5789558
50106,1.8967776
50107,1.9309043
50108,1.9397808
50109,1.7908889
50110,1.6209342
50111,1.6365509
50112,1.8676274
50113,1.1940153
50114,1.6817148
50115,1.8797501
50116,1.6705374
50117,1.8427362
50118,2.1119168
50119,1.6263216
50120,2.1091418
50121,1.8131704
50122,1.3773291
50123,1.6090294
50124,1.7471496
50125,1.7229878
50126,1.3862532
50127,1.3656504
50128,1.7183051
50129,1.7359576
50130,1.9341419
50131,1.8596787
50132,1.848396
50133,1.9105822
50134,1.7385162
50135,1.6705153
50136,1.7107422
50137,1.6739184
50138,1.9419698
50139,1.858144
50140,1.7467542
50141,1.871347
50142,1.5501451
50143,1.5799987
50144,1.8808426
50145,1.7919389
50146,1.8020282
50147,1.8592621
50148,2.1866348
50149,1.8798604
50150,1.3636022
50151,1.6647216
50152,1.814322
50153,1.9865865
50154,1.4725864
50155,1.8155317
50156,1.9661821
50157,1.3044958
50158,1.8731867
50159,1.6144571
50160,1.5554142
50161,1.7969438
50162,1.9923013
50163,1.8575319
50164,1.7556765
50165,1.5431195
50166,1.4930754
50167,1.6471474
50168,1.8552043
50169,1.4961308
50170,1.6696005
50171,1.9669938
50172,1.823241
50173,2.2080057
50174,1.6748046
50175,1.6364715
50176,1.9563628
50177,1.8126769
50178,1.8073244
50179,1.9399819
50180,1.7992709
50181,1.8320599
50182,1.6345382
50183,1.6873047
50184,1.9673853
50185,1.3935565
50186,1.9156734
50187,1.98902
50188,1.8141307
50189,1.8411629
50190,2.0367043
50191,1.9451206
50192,1.9758638
50193,2.003756
50194,1.7296267
50195,1.4530749
50196,1.6907
50197,1.7856152
50198,2.1379914
50199,1.9318998
50200,1.88127
50201,1.9325864
50202,1.7071252
50203,1.594604
50204,1.762211
50205,1.3680067
50206,2.2149057
50207,1.7469649
50208,1.7077712
50209,1.2052022
50210,1.9694316
50211,1.5689671
50212,1.9421765
50213,1.9012407
50214,1.5301045
50215,1.2956499
50216,1.5728798
50217,1.609205
50218,1.8818756
50219,1.8916056
50220,1.94586
50221,2.1643276
50222,2.1274717
50223,1.870343
50224,1.585017
50225,1.7408717
50226,1.7804682
50227,1.9311908
50228,1.7054517
50229,1.7240167
50230,1.6659977
50231,1.8586999
50232,2.0401666
50233,1.9605297
50234,2.0815425
50235,1.6355277
50236,1.6259274
50237,1.6862938
50238,1.8164285
50239,1.8432395
50240,1.8621842
50241,1.5539284
50242,1.9923781
50243,1.9986622
50244,1.5114386
50245,1.7351227
50246,1.917156
50247,1.7465762
50248,1.9422355
50249,1.8376349
50250,1.7043896
50251,1.6208451
50252,2.0034518
50253,1.9131378
50254,1.6802665
50255,1.703306
50256,1.8974134
50257,1.809197
50258,2.1634784
50259,1.7086316
50260,1.3385241
50261,1.8483479
50262,1.6675845
50263,1.8713137
50264,1.450959
50265,1.694273
50266,1.6410791
50267,1.9220252
50268,1.8387406
50269,1.584383
50270,2.007162
50271,1.7978057
50272,2.0869555
50273,1.8797355
50274,1.9317557
50275,1.7033529
50276,1.8828497
50277,1.6097617
50278,0.9956339
50279,1.5289347
50280,1.8678148
50281,1.6027657
50282,2.0664237
50283,1.8232027
