Id,y
50100,1.7279906
50101,2.2609332
50102,1.9276558
50103,2.2370706
50104,1.6964731
50105,1.6003611
50106,2.047937
50107,2.4976268
50108,1.7408572
50109,1.6477323
50110,1.40202
50111,1.6813581
50112,1.6192163
50113,1.3845239
50114,1.79289
50115,1.719918
50116,1.4829822
50117,2.026349
50118,2.1536574
50119,1.867701
50120,1.9112328
50121,2.3270717
50122,0.8035073
50123,2.2210538
50124,1.6487038
50125,2.1185758
50126,1.7115772
50127,2.0900815
50128,1.6446633
50129,2.1103184
50130,2.0401525
50131,2.2858524
50132,1.6282339
50133,1.6379926
50134,1.7150218
50135,1.8975435
50136,1.5806985
50137,2.0961776
50138,1.6850319
50139,1.8817359
50140,2.318479
50141,2.3649802
50142,2.2847939
50143,1.040336
50144,1.7408303
50145,1.9704902
50146,1.820306
50147,2.4634802
50148,2.1536367
50149,1.6590083
50150,1.424162
50151,1.7494214
50152,1.5632885
50153,1.9506216
50154,1.9458069
50155,2.170986
50156,2.0425725
50157,0.9013884
50158,2.165449
50159,0.7900157
50160,1.923491
50161,2.2091703
50162,2.2320275
50163,1.8784554
50164,1.9127799
50165,1.4645743
50166,1.5783277
50167,1.5731506
50168,1.8924088
50169,1.1670706
50170,1.7060847
50171,2.0450945
50172,1.5889182
50173,1.8964033
50174,2.0464444
50175,1.928305
50176,2.4163067
50177,2.4870918
50178,2.0149803
50179,1.6558311
50180,2.0703843
50181,1.7044923
50182,1.8756816
50183,1.5430883
50184,2.4296923
50185,1.7845626
50186,2.2673807
50187,2.4418297
50188,2.3805666
50189,2.5356846
50190,2.4678326
50191,2.3239582
50192,1.7874911
50193,2.0771227
50194,1.6450353
50195,1.5993791
50196,2.236248
50197,2.2606082
50198,1.6955514
50199,2.324232
50200,1.789838
50201,2.3518372
50202,1.6219324
50203,1.8446918
50204,1.8407573
50205,1.2640959
50206,1.628901
50207,2.023216
50208,1.7586803
50209,1.0709013
50210,2.3106585
50211,1.9521761
50212,2.1264682
50213,2.262912
50214,2.0299911
50215,1.6041211
50216,1.400402
50217,1.6639123
50218,1.5639083
50219,2.341782
50220,2.3247113
50221,1.8551719
50222,1.791878
50223,1.9418601
50224,1.5882645
50225,2.0273037
50226,2.143762
50227,2.2482
50228,1.8101126
50229,1.8961599
50230,1.8730855
50231,1.7456795
50232,2.0470142
50233,2.140376
50234,1.4959489
50235,1.1460466
50236,1.8540432
50237,1.4339343
50238,1.728479
50239,2.440815
50240,2.453433
50241,1.159761
50242,2.0347438
50243,1.5732015
50244,1.2414907
50245,1.5795178
50246,2.1291523
50247,1.409379
50248,2.8499255
50249,2.257565
50250,2.0549986
50251,2.186569
50252,2.645595
50253,1.8623252
50254,1.811054
50255,1.2630947
50256,2.391271
50257,1.6586828
50258,1.347346
50259,2.4249299
50260,0.63915443
50261,2.314744
50262,1.5554807
50263,2.0148175
50264,1.4094715
50265,1.7937516
50266,1.968588
50267,2.0603738
50268,1.8083861
50269,1.6451011
50270,2.1292586
50271,1.8273551
50272,2.0226133
50273,2.1215754
50274,2.2906573
50275,1.4462597
50276,2.235272
50277,1.3603926
50278,1.6856648
50279,1.5527656
50280,1.8796362
50281,1.3031819
50282,2.366466
50283,2.0677807
50284,1.7708457
50285,1.7441474
50286,1.6925237
50287,2.5303216
50288,2.4346104
50289,1.5158602
50290,1.7161107
50291,2.1887813
50292,1.823071
50293,2.4237752
50294,1.3684654
50295,1.64118
50296,2.2355573
50297,2.161634
50298,2.1748824
50299,1.9914916
50300,1.4815528
50301,2.1818066
50302,2.234469
50303,2.0446446
50304,1.4645257
50305,0.8463017
50306,1.0633484
50307,1.7380306
50308,2.3969743
50309,1.0225123
50310,2.0279212
50311,1.6626916
50312,2.1070585
50313,2.1964488
50314,1.7951964
50315,2.1797557
50316,2.1185586
50317,1.5901796
50318,2.4683008
50319,1.9883282
50320,2.4357479
50321,2.015265
50322,2.3165932
50323,1.059555
50324,2.0148773
50325,1.724724
50326,1.5425766
50327,1.8451264
50328,1.6949587
50329,1.577284
50330,1.5159228
50331,2.1292005
50332,1.436662
50333,1.5998983
50334,1.6387368
50335,1.9605222
50336,1.7645146
50337,1.4528147
50338,1.7761792
50339,1.5611647
50340,1.84671
50341,1.3954904
50342,1.5492283
50343,1.0389588
50344,1.611782
50345,2.3457804
50346,1.0313889
50347,2.4591901
50348,2.474053
50349,1.2124832
50350,2.2268598
50351,1.9279773
50352,1.957546
50353,1.6009202
50354,1.1593392
50355,1.7626723
50356,1.8826537
50357,2.1130292
50358,1.6073025
