Id,y
50100,2.0460057
50101,2.078798
50102,1.7487967
50103,2.2076201
50104,1.7229943
50105,1.4873149
50106,2.1001117
50107,2.0005593
50108,1.9748504
50109,1.9069844
50110,1.380791
50111,1.7303767
50112,1.931869
50113,1.8002378
50114,2.0158348
50115,2.1379101
50116,1.9856575
50117,1.8778168
50118,2.1285498
50119,1.5160773
50120,2.1443245
50121,1.9361229
50122,1.3107449
50123,2.0528705
50124,1.5562236
50125,1.5357981
50126,1.8396745
50127,1.8869811
50128,1.6367056
50129,1.7394336
50130,2.1328988
50131,1.8647361
50132,1.8319044
50133,2.0001
50134,1.887479
50135,2.1186888
50136,1.6095259
50137,1.6263417
50138,1.8685328
50139,1.8321284
50140,1.8286806
50141,2.1184275
50142,1.7118578
50143,1.7730366
50144,1.6384282
50145,2.0516944
50146,1.9122696
50147,2.0550895
50148,2.0285373
50149,1.8446016
50150,1.8347719
50151,1.7294533
50152,2.01663
50153,2.1515512
50154,1.3563329
50155,2.1760197
50156,2.1850224
50157,1.6175395
50158,1.6720836
50159,1.3709276
50160,1.653296
50161,2.1112897
50162,2.2991593
50163,2.0877144
50164,1.6663543
50165,1.6701028
50166,1.6259489
50167,1.9484723
50168,1.5208501
50169,1.3505301
50170,1.6953739
50171,2.1769876
50172,1.8435766
50173,2.1637263
50174,1.8512186
50175,1.2463468
50176,2.2472477
50177,2.0733578
50178,2.120268
50179,2.1035478
50180,2.163228
50181,1.4457796
50182,2.070135
50183,1.4909854
50184,2.0666575
50185,1.3331077
50186,2.100901
50187,2.2117412
50188,2.1926541
50189,2.0599296
50190,2.1775622
50191,2.232492
50192,2.1477306
50193,2.2490544
50194,1.8111839
50195,1.757977
50196,1.8153049
50197,1.8621103
50198,2.1010232
50199,2.0519407
50200,1.7523558
50201,2.2167788
50202,1.4412425
50203,1.4323461
50204,1.5108919
50205,1.3634796
50206,2.1941347
50207,1.8916607
50208,1.5347369
50209,1.3533946
50210,1.8107634
50211,1.430299
50212,1.8999933
50213,1.9602388
50214,1.6463262
50215,1.6470104
50216,1.3086264
50217,1.5845582
50218,2.0455308
50219,2.0740001
50220,2.3832476
50221,2.1473186
50222,2.1972325
50223,2.060767
50224,1.2972866
50225,2.161602
50226,1.5977771
50227,2.1482966
50228,1.7180414
50229,2.2146845
50230,1.6913792
50231,1.8544421
50232,2.152779
50233,2.0819466
50234,2.011224
50235,1.5600601
50236,1.4713105
50237,1.9079504
50238,1.8513277
50239,2.045096
50240,1.3763591
50241,1.3894283
50242,2.12719
50243,2.0434663
50244,1.5017802
50245,1.7069838
50246,2.0196004
50247,1.5616453
50248,2.2358744
50249,2.135951
50250,2.1205466
50251,1.7843882
50252,1.6898129
50253,2.1521995
50254,2.0955536
50255,1.7925217
50256,2.1345222
50257,1.8515953
50258,2.0141509
50259,1.6663245
50260,1.3459109
50261,1.77924
50262,1.848764
50263,1.4987867
50264,1.4222374
50265,1.9363897
50266,1.734728
50267,2.164308
50268,1.7914963
50269,1.8521373
50270,2.124836
50271,2.1517813
50272,2.1844857
50273,2.0538137
50274,2.0181088
50275,1.611643
50276,1.5647486
50277,2.0708733
50278,1.5956209
50279,1.4839513
50280,2.1513534
50281,1.4693699
50282,2.1679463
50283,2.082976
50284,1.9935826
50285,1.3300366
50286,1.9514875
50287,2.0912738
50288,2.1443226
50289,1.7440243
50290,2.167469
50291,2.2471125
50292,1.878195
50293,2.118273
50294,1.9238355
50295,1.7889377
50296,2.1365678
50297,1.5028653
50298,1.9776825
50299,2.1507187
50300,1.9113227
50301,1.506145
50302,2.198848
50303,2.1103835
50304,1.9873168
50305,1.3041717
50306,1.3714691
50307,1.7092469
50308,1.8612145
50309,1.5371375
50310,2.1036005
50311,1.8813075
50312,2.117024
50313,2.2191556
50314,1.5011836
50315,1.866378
50316,1.7355963
50317,1.6228704
50318,1.889366
50319,1.8959196
50320,1.9862479
50321,2.076361
50322,2.206903
50323,1.633584
50324,2.0046313
50325,2.1504087
50326,2.1028523
50327,1.8928719
50328,1.9287808
50329,1.9078815
50330,2.011034
50331,1.6963985
50332,1.8456296
50333,1.5811459
50334,1.409205
50335,1.5973939
50336,2.026865
50337,1.3914615
50338,2.0176713
50339,1.9321407
50340,1.5623804
50341,1.7495456
50342,2.112719
50343,1.4507593
50344,2.0928245
50345,1.9786545
50346,1.4198091
50347,1.9756836
50348,1.8578278
50349,1.4185122
50350,2.1550224
50351,1.814832
50352,1.7492694
50353,1.7664703
50354,1.6631727
50355,1.7149919
50356,2.1048338
50357,2.1257818
50358,1.9511256
50359,1.5671206
50360,2.060652
50361,2.1398597
50362,1.874969
50363,1.4148865
50364,1.9311414
50365,1.4226072
50366,2.068381
50367,1.884972
50368,1.9255648
50369,2.1396792
50370,2.1567316
50371,2.1285398
50372,1.8531399
50373,1.8016765
50374,1.9216588
50375,1.4809878
50376,1.9930234
50377,1.6315888
50378,2.1389623
50379,1.7324581
50380,2.0114737
50381,1.4044275
50382,2.130288
50383,1.9974109
50384,2.0075874
50385,1.5147113
50386,1.4695312
50387,1.7496121
50388,1.8247088
50389,2.2239978
50390,1.9209051
50391,2.2023702
50392,1.9465376
50393,2.0446668
50394,1.4916312
50395,1.5346658
50396,1.9926703
50397,1.7759591
50398,1.5534984
50399,2.1038606
50400,1.9081713
50401,1.4895549
50402,1.7393795
50403,2.146172
50404,1.9943143
50405,2.1977797
50406,2.2028499
50407,2.1359413
50408,2.17937
50409,1.4829154
50410,1.7957339
50411,1.8501022
50412,2.1275394
50413,1.6572855
50414,1.9746104
50415,1.50317
50416,1.5124209
50417,1.8434793
50418,1.9305223
50419,1.9370672
50420,2.0375233
50421,2.1437378
50422,1.9554929
50423,2.128711
50424,1.4855853
50425,1.9601463
50426,1.4947736
50427,2.1420085
50428,2.119853
50429,1.9537929
50430,1.9735537
50431,1.9085981
50432,1.7837807
50433,1.8508903
50434,2.0566113
50435,2.1503057
50436,1.6679144
50437,2.0847151
50438,1.3173352
50439,1.9395732
50440,1.3640959
50441,2.2225072
50442,2.1780083
50443,1.5172938
50444,1.8403902
50445,1.3863915
50446,2.066747
50447,1.5063474
50448,1.3679833
50449,2.2176754
50450,1.8662009
50451,2.0973663
50452,2.1066737
50453,2.1331308
50454,2.1323113
50455,1.8627074
50456,1.7977725
50457,1.6429602
50458,1.4330834
50459,1.786498
50460,2.1114554
50461,2.0482705
50462,2.200412
50463,1.7135056
50464,1.3793311
50465,1.4625766
50466,1.3662686
50467,2.1175864
50468,2.1889164
50469,1.8119595
50470,1.4953622
50471,1.9956079
50472,1.399522
50473,1.836473
50474,1.551617
50475,1.3369603
50476,1.7022828
50477,2.1500778
50478,2.095047
50479,2.1930568
50480,1.6268373
50481,2.1321099
50482,2.2190342
50483,2.0366309
50484,1.4093096
50485,1.5114675
50486,1.8883715
50487,2.0790298
50488,2.130412
50489,2.0940876
50490,1.756975
50491,1.955364
50492,2.1709855
50493,2.0522046
50494,1.9638841
50495,1.4173508
50496,1.5843081
50497,1.8197957
50498,2.1499946
50499,1.5601661
50500,1.4873422
50501,1.5286217
50502,1.3126777
50503,1.7612449
50504,1.4908816
50505,1.7613332
50506,1.7938869
50507,2.0887926
50508,1.8775207
50509,1.4736536
50510,2.060095
50511,1.4855349
50512,2.0921648
50513,2.2614698
50514,2.0442197
50515,1.5653616
50516,1.6701491
50517,2.1354973
50518,1.4235128
50519,1.3700991
50520,1.8413428
50521,2.0855489
50522,1.8348192
50523,1.8015273
50524,2.1786122
50525,1.7116089
50526,1.7356491
50527,1.6721249
50528,1.4473118
50529,1.4661071
50530,1.9018629
50531,1.4468673
50532,1.694641
50533,1.6107484
50534,1.5008647
50535,1.80045
50536,2.1375651
50537,2.0966792
50538,1.9993143
50539,2.1005352
50540,2.2131238
50541,1.9007654
50542,2.0148706
50543,1.5637722
50544,1.8541958
50545,1.9624946
50546,2.0969155
50547,1.6233767
50548,2.1736023
50549,2.1121902
50550,1.6932459
50551,1.7360756
50552,1.8621768
50553,1.5008582
50554,1.892061
50555,2.1964357
50556,1.2673634
50557,2.1599326
50558,1.3160172
50559,2.1226687
50560,1.8898824
50561,2.0442457
50562,1.7397623
50563,2.0944738
50564,1.8518603
50565,2.168176
50566,1.8677634
50567,2.1599047
50568,1.5318081
50569,1.9454576
50570,1.51594
50571,2.2303648
50572,2.034251
50573,1.789773
50574,1.8290001
50575,1.6240755
50576,1.4685607
50577,2.0471506
50578,2.1455152
50579,1.9593173
50580,1.4773494
50581,1.6933645
50582,2.0723999
50583,2.1139145
50584,1.577915
50585,1.4868733
50586,1.959245
50587,1.5784363
50588,1.9614058
50589,2.0496824
50590,1.9208418
50591,2.2005637
50592,2.1513355
50593,2.1405418
